,date,btc_price,eth_price,ltc_price,doge_price,dash_price,xmr_price,xrp_price
156,2018-10-26,6493.0,203.227,52.434,0.0039,155.944,106.327,0.457
157,2018-10-25,6502.0,202.807,52.608,0.00383,156.705,106.809,0.456
158,2018-10-24,6530.0,204.735,52.971,0.00402,158.329,108.829,0.46
159,2018-10-23,6511.0,203.783,52.759,0.00428,154.395,108.637,0.442
160,2018-10-22,6537.0,205.705,53.016,0.00448,154.591,106.262,0.453
161,2018-10-21,6574.0,207.884,53.845,0.00463,157.414,106.747,0.463
162,2018-10-20,6526.0,206.083,53.611,0.00458,156.45,105.681,0.459
163,2018-10-19,6514.0,204.01,53.242,0.00447,155.105,105.446,0.452
164,2018-10-18,6595.0,207.491,53.68,0.00456,160.026,106.988,0.463
165,2018-10-17,6609.0,210.319,54.163,0.00483,163.767,107.903,0.463
166,2018-10-16,6642.0,210.881,54.985,0.00516,165.358,108.293,0.454
167,2018-10-15,6614.0,209.49,54.846,0.00528,163.523,106.099,0.447
168,2018-10-14,6335.0,200.705,53.531,0.00525,161.888,103.316,0.419
169,2018-10-13,6288.0,199.558,53.746,0.00523,159.475,102.936,0.419
170,2018-10-12,6278.0,196.354,52.769,0.00525,158.399,102.401,0.426
171,2018-10-11,6284.0,201.827,52.553,0.00521,164.708,103.84,0.41
172,2018-10-10,6581.0,225.622,57.937,0.00562,178.855,112.794,0.466
173,2018-10-09,6639.0,228.517,58.975,0.00564,181.486,113.837,0.476
174,2018-10-08,6630.0,227.439,58.675,0.00545,181.607,114.127,0.491
175,2018-10-07,6580.0,224.157,57.819,0.00559,180.332,113.544,0.478
176,2018-10-06,6598.0,225.822,58.105,0.00561,182.784,114.404,0.493
177,2018-10-05,6584.0,223.003,58.179,0.00568,181.249,114.338,0.519
178,2018-10-04,6583.0,223.753,58.635,0.00571,181.033,114.596,0.534
179,2018-10-03,6484.0,219.977,57.722,0.00574,178.418,113.951,0.527
180,2018-10-02,6579.0,228.564,60.391,0.0059,185.488,115.075,0.563
181,2018-10-01,6610.0,230.629,60.741,0.00597,187.017,115.35,0.551
182,2018-09-30,6610.0,232.889,61.099,0.00591,187.789,115.449,0.61
183,2018-09-29,6568.0,226.64,61.004,0.00587,187.663,115.11,0.562
184,2018-09-28,6683.0,225.946,62.527,0.00591,191.582,118.128,0.529
185,2018-09-27,6528.0,218.836,60.442,0.00582,188.401,116.176,0.524
186,2018-09-26,6470.0,215.064,57.637,0.00576,188.181,114.734,0.547
187,2018-09-25,6424.0,214.33,56.324,0.00571,186.524,113.5,0.458
188,2018-09-24,6645.0,236.38,58.991,0.0058,197.586,119.18,0.531
189,2018-09-23,6712.0,242.354,61.392,0.00585,206.037,123.786,0.568
190,2018-09-22,6714.0,240.704,59.907,0.00574,204.203,122.143,0.571
191,2018-09-21,6667.0,229.965,58.294,0.00577,205.781,119.843,0.587
192,2018-09-20,6423.0,210.605,54.336,0.00573,191.75,112.15,0.369
193,2018-09-19,6352.0,209.437,53.826,0.00573,190.99,110.014,0.318
194,2018-09-18,6307.0,203.297,52.894,0.00611,185.132,109.673,0.321
195,2018-09-17,6408.0,212.796,55.109,0.00633,192.235,115.38,0.278
196,2018-09-16,6491.0,218.053,56.287,0.00635,188.171,116.619,0.278
197,2018-09-15,6523.0,218.581,57.435,0.00622,190.682,119.603,0.283
198,2018-09-14,6507.0,213.086,55.137,0.00631,191.723,113.585,0.275
199,2018-09-13,6450.0,197.248,53.634,0.00652,190.235,109.944,0.275
200,2018-09-12,6287.0,176.072,50.009,0.00633,179.167,101.039,0.26
201,2018-09-11,6312.0,190.005,53.104,0.0064,194.723,105.958,0.263
202,2018-09-10,6307.0,196.245,54.541,0.00631,202.257,106.385,0.275
203,2018-09-09,6308.0,197.313,54.468,0.00574,190.103,105.394,0.286
204,2018-09-08,6380.0,212.06,55.519,0.00562,191.324,110.451,0.294
205,2018-09-07,6463.0,222.844,56.751,0.00522,181.54,114.607,0.293
206,2018-09-06,6442.0,226.147,55.774,0.00493,171.979,113.011,0.286
207,2018-09-05,7145.0,264.905,64.048,0.00514,203.049,129.1,0.306
208,2018-09-04,7332.0,287.556,67.593,0.00521,217.599,137.297,0.339
209,2018-09-03,7269.0,289.961,65.144,0.00526,211.891,126.026,0.339
