,date,open,high,low,close,volume,marketcap
732,2017-03-28,4.07,4.18,4.06,4.16,4297870,209398408
733,2017-03-27,4.07,4.14,4.04,4.08,5162690,205294094
734,2017-03-26,4.07,4.1,4.03,4.06,3911060,204508541
735,2017-03-25,4.07,4.12,3.97,4.07,7904680,204947911
736,2017-03-24,3.97,4.13,3.94,4.08,12524300,205561869
737,2017-03-23,3.93,4.0,3.92,3.98,3354160,200273945
738,2017-03-22,3.99,4.01,3.89,3.94,5949960,198021517
739,2017-03-21,4.04,4.04,3.98,4.01,4970080,201621298
740,2017-03-20,3.95,4.05,3.89,4.03,4068240,202769043
741,2017-03-19,3.96,4.03,3.9,3.96,6013050,198853053
742,2017-03-18,4.04,4.16,3.86,3.97,12199700,199360039
743,2017-03-17,4.23,4.23,4.04,4.06,11109600,203699159
744,2017-03-16,4.15,4.38,4.1,4.24,12755200,212779672
745,2017-03-15,4.05,4.18,4.0,4.16,6571900,208884338
746,2017-03-14,4.17,4.17,4.01,4.06,7928910,203517141
747,2017-03-13,3.85,4.25,3.83,4.17,22439100,209247492
748,2017-03-12,3.79,3.86,3.78,3.84,3373750,192734982
749,2017-03-11,3.76,3.84,3.75,3.8,3463740,190446085
750,2017-03-10,3.83,3.88,3.73,3.75,7090150,188096028
751,2017-03-09,3.77,3.84,3.76,3.84,3092100,192365805
752,2017-03-08,3.81,3.82,3.75,3.78,4594400,189185841
753,2017-03-07,3.89,3.91,3.8,3.82,5619560,191407739
754,2017-03-06,3.87,3.93,3.86,3.92,4393810,196360997
755,2017-03-05,3.86,3.9,3.84,3.9,2836910,195313683
756,2017-03-04,3.91,3.92,3.86,3.88,3361400,194382285
757,2017-03-03,3.92,4.0,3.9,3.92,7515680,196175905
758,2017-03-02,3.8,4.11,3.78,3.92,9439480,196290700
759,2017-03-01,3.77,3.81,3.76,3.8,4405000,189965827
760,2017-02-28,3.8,3.82,3.76,3.77,4045440,188519643
761,2017-02-27,3.81,3.83,3.8,3.8,3766590,190050516
762,2017-02-26,3.82,3.85,3.8,3.83,2688250,191185638
763,2017-02-25,3.85,3.86,3.81,3.83,3581200,191095953
764,2017-02-24,3.83,3.88,3.82,3.85,6921090,192069643
765,2017-02-23,3.8,3.85,3.8,3.84,4096480,191826642
766,2017-02-22,3.79,3.84,3.78,3.81,4547610,189889068
767,2017-02-21,3.76,3.8,3.76,3.78,4110740,188746827
768,2017-02-20,3.77,3.78,3.75,3.77,3128060,187919323
769,2017-02-19,3.79,3.79,3.74,3.76,2701490,187593272
