Symbol,Week,Open,High,Low,Close,Volume
ETC,2016-08-31,1.79778410,3.59900000,1.16341819,1.18238215,11186802.10140000
DOGE,2019-04-03,0.00208230,0.00334529,0.00208177,0.00326288,4024776286.90999985
DOGE,2019-03-31,0.00209094,0.00221462,0.00192811,0.00208220,39883895221.09999847
DOGE,2019-02-28,0.00201604,0.00224060,0.00183064,0.00207436,34263200566.09999847
DOGE,2019-01-31,0.00245874,0.00253259,0.00192321,0.00201663,30743629264.40000153
DOGE,2018-12-31,0.00227015,0.00295378,0.00211363,0.00245840,23106218450.09999847
DOGE,2018-11-30,0.00392683,0.00400789,0.00215184,0.00227070,6687699141.77999973
DOGE,2018-10-31,0.00589484,0.00602022,0.00370615,0.00392852,1252899072.48000002
DOGE,2018-09-30,0.00431785,0.00685885,0.00417021,0.00589865,1201313644.77999997
DOGE,2018-08-31,0.00315436,0.00434632,0.00221444,0.00430616,2008690599.82999992
DOGE,2018-07-31,0.00251388,0.00385976,0.00233363,0.00315678,1775476440.32999992
DOGE,2018-06-30,0.00349034,0.00390226,0.00240187,0.00251781,1732108725.28999996
DOGE,2018-05-31,0.00541043,0.00544869,0.00320276,0.00349838,1468259160.33999991
DOGE,2018-04-30,0.00286809,0.00591371,0.00264019,0.00536881,1450674512.71000004
DOGE,2018-03-31,0.00626207,0.00652134,0.00283549,0.00287597,1507452925.39000010
DOGE,2018-02-28,0.00639591,0.00802546,0.00315645,0.00627841,1484789429.75999999
DOGE,2018-01-31,0.00933231,0.01892555,0.00623669,0.00635812,1622386164.27999997
DOGE,2017-12-31,0.00200122,0.01101696,0.00199836,0.00933694,1404311129.45000005
DOGE,2017-11-30,0.00112870,0.00245511,0.00104563,0.00200021,1558346606.96000004
DOGE,2017-10-31,0.00113671,0.00136220,0.00096305,0.00113621,1626899351.69000006
DOGE,2017-09-30,0.00210507,0.00281582,0.00073602,0.00113679,10442550584.39999962
DOGE,2017-08-31,0.00164860,0.00226195,0.00158832,0.00209619,3739201470.94999981
DOGE,2017-07-31,0.00256564,0.00274402,0.00118459,0.00160503,475697000.80800003
DOGE,2017-06-30,0.00251062,0.00368958,0.00223695,0.00254598,848588329.46500003
DOGE,2017-05-31,0.00073003,0.00384488,0.00056749,0.00252877,1637148499.18000007
DOGE,2017-04-30,0.00034143,0.00079256,0.00031484,0.00072989,386994637.71799999
DOGE,2017-03-31,0.00020749,0.00037904,0.00019500,0.00034142,541367791.88000000
DOGE,2017-02-28,0.00019925,0.00022765,0.00019198,0.00020749,435073823.38000000
DOGE,2017-01-31,0.00021773,0.00023544,0.00018534,0.00019925,358330868.93800002
DOGE,2016-12-31,0.00020718,0.00024484,0.00020714,0.00021768,387036389.91200000
DOGE,2016-11-30,0.00022463,0.00024824,0.00020243,0.00020718,420838531.20999998
DOGE,2016-10-31,0.00023337,0.00024003,0.00020529,0.00022412,390896969.44999999
DOGE,2016-09-30,0.00022797,0.00024290,0.00021331,0.00023341,435509437.02399999
DOGE,2016-08-31,0.00023653,0.00026242,0.00019993,0.00022797,499616235.92900002
DOGE,2016-07-31,0.00029555,0.00031228,0.00022500,0.00023653,538669844.60399997
DOGE,2016-06-30,0.00023548,0.00034955,0.00022109,0.00029555,502989846.61600000
DOGE,2016-05-31,0.00021675,0.00024693,0.00020316,0.00023548,536049761.87400001
DOGE,2016-04-30,0.00023190,0.00024613,0.00019603,0.00021675,378678184.86100000
DOGE,2016-03-31,0.00024482,0.00026936,0.00019889,0.00023190,287384800.23600000
DOGE,2016-02-29,0.00026966,0.00033350,0.00023922,0.00024482,250692197.83100000
DOGE,2016-01-31,0.00013910,0.00050930,0.00012756,0.00026966,278219481.20400000
DOGE,2015-12-31,0.00013121,0.00015033,0.00012289,0.00013910,260372655.34000000
DOGE,2015-11-30,0.00013292,0.00015587,0.00011413,0.00012928,266760560.88600001
DOGE,2015-10-31,0.00012370,0.00014547,0.00011157,0.00013292,512037288.14499998
DOGE,2015-09-30,0.00012518,0.00014195,0.00010628,0.00012371,451317986.41399997
DOGE,2015-08-31,0.00018434,0.00018477,0.00012346,0.00012659,280248114.82099998
DOGE,2015-07-31,0.00020024,0.00023232,0.00014649,0.00018351,223338643.49300000
